url,model,mileage,price
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF030646/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"14,544","$41,560"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB4JF185686/2018-tesla-model-3/,2018 Tesla Model 3,"15,386","$47,362"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB9JF100633/2018-tesla-model-3/,2018 Tesla Model 3,"19,259","$47,911"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF134448/2018-tesla-model-3/,2018 Tesla Model 3,"6,727","$47,500"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF134644/2018-tesla-model-3/,2018 Tesla Model 3,"16,474","$47,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB2KF390134/2019-tesla-model-3/,2019 Tesla Model 3,"3,374","$49,888"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB6JF188637/2018-tesla-model-3/,2018 Tesla Model 3,"8,574","$48,640"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF105747/2018-tesla-model-3/,2018 Tesla Model 3,"11,448","$52,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB6JF054310/2018-tesla-model-3/,2018 Tesla Model 3,"5,850","$49,977"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EBXKF389555/2019-tesla-model-3/,2019 Tesla Model 3,"10,775","$51,499"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA6KF397725/2019-tesla-model-3/,2019 Tesla Model 3,"2,808","$43,888"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA9JF047293/2018-tesla-model-3/,2018 Tesla Model 3,"17,694","$40,787"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1KF484805/2019-tesla-model-3/,2019 Tesla Model 3,"9,228","$41,988"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB3JF069475/2018-tesla-model-3/,2018 Tesla Model 3,"15,280","$48,888"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA8JF155257/2018-tesla-model-3/,2018 Tesla Model 3,"9,401","$32,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1LF632257/2020-tesla-model-3/,2020 Tesla Model 3,"3,729","$41,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA2KF301587/2019-tesla-model-3/,2019 Tesla Model 3,"7,064","$40,999"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA7KF402012/2019-tesla-model-3/,2019 Tesla Model 3,"4,353","$41,900"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA4KF411783/2019-tesla-model-3/,2019 Tesla Model 3,"6,688","$38,990"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA0KF297975/2019-tesla-model-3/,2019 Tesla Model 3,"21,100","$38,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF116778/2018-tesla-model-3/,2018 Tesla Model 3,"32,911","$42,990"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1JF152815/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"11,393","$38,300"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA7LF613518/2020-tesla-model-3/,2020 Tesla Model 3,"1,123","$45,888"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA3KF306328/2019-tesla-model-3/,2019 Tesla Model 3,"12,500","$40,000"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA1JF003935/2018-tesla-model-3/,2018 Tesla Model 3,"16,346","$43,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF096080/2018-tesla-model-3/?zipcode=77477,2018 Tesla Model 3,"8,701","$45,580"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB4KF368037/2019-tesla-model-3/,2019 Tesla Model 3,"6,522","$54,990"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EA4KF411654/2019-tesla-model-3/,2019 Tesla Model 3,"5,100","$42,966"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB2JF085845/2018-tesla-model-3/,2018 Tesla Model 3,"14,052","$45,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF073716/2018-tesla-model-3/,2018 Tesla Model 3,"9,310","$53,995"
http://truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF103782/2018-tesla-model-3/,2018 Tesla Model 3,"16,749","$46,890"
